Variable;Format;Name;Values;Type;Computation / Comment;Operator
;;;;;;
MONITORfull;;;;;;
;;;;;;
$Q_S033_PA;Number;S33 POSITIVE ACTIVATION;01. Jul;Scale;MEAN($Q_S033_02r,$Q_S033_04,$Q_S033_07,$Q_S033_09r);MEAN
$Q_S033_PA_BZ;Number;S33 POSITIVE ACTIVATION Benchmark Z-Value;-3 to +3;Z-Value;($Q_x-$B_x_PM)/$B_x_PS;COMPLEX1
$Q_S033_PA_BV;Number;S33 POSITIVE ACTIVATION Benchmark Valuation;Unicode;Emoji;IF($Q_x_BZ<$B_CO_pos1;
$Q_S033_PA_DIS;Number;S33 POSITIVE ACTIVATION Dispersion;0-0.707;Value;STABW($Q_x)/$B_x_SR;COMPLEX4
$Q_S033_PA_DISV;String;S33 POSITIVE ACTIVATION Dispersion Valuation;tief, mittel, hoch;Unicode;IF($Q_x_DIS<$B_CO_disp1;
;;;;;;
$Q_S033_NA;Number;S33 NEGATIVE ACTIVATION;01. Jul;Scale;MEAN($Q_S033_03r,$Q_S033_05,$Q_S033_08,$Q_S033_10r);MEAN
$Q_S033_NA_BZ;Number;S33 NEGATIVE ACTIVATION Benchmark Z-Value;-3 to +3;Z-Value;($Q_x-$B_x_PM)/$B_x_PS;COMPLEX1
$Q_S033_NA_BV;Number;S33 NEGATIVE ACTIVATION Benchmark Valuation;Unicode;Emoji;IF($Q_x_BZ>$B_CO_neg1;
$Q_S033_NA_DIS;Number;S33 NEGATIVE ACTIVATION Dispersion;0-0.707;Value;STABW($Q_x)/$B_x_SR;COMPLEX4
$Q_S033_NA_DISV;String;S33 NEGATIVE ACTIVATION Dispersion Valuation;tief, mittel, hoch;String;IF($Q_x_DIS<$B_CO_disp1;
;;;;;;
$Q_S033_02;Number;S33 POSITIVE ACTIVATION Energy;01. Jul;Item;;
$Q_S033_02r;Number;S33 POSITIVE ACTIVATION Energy rev;01. Jul;Item reversed;RECODE $Q_S033_02 INTO $Q_S033_02r (7=1,6=2,5=3,4=4,3=5,2=6,1=7);RECODE_7
$Q_S033_03;Number;S33 NEGATIVE ACTIVATION Stress;01. Jul;Item;;
$Q_S033_03r;Number;S33 NEGATIVE ACTIVATION Stress rev;01. Jul;Item reversed;RECODE $Q_S033_03 INTO $Q_S033_03r (7=1,6=2,5=3,4=4,3=5,2=6,1=7);RECODE_7
$Q_S033_04;Number;S33 POSITIVE ACTIVATION Awake;01. Jul;Item;;
$Q_S033_05;Number;S33 NEGATIVE ACTIVATION Angry;01. Jul;Item;;
$Q_S033_06;Number;S33 VALENCE Happy;01. Jul;Item;;
$Q_S033_07;Number;S33 POSITIVE ACTIVATION Motivated;01. Jul;Item;;
$Q_S033_08;Number;S33 NEGATIVE ACTIVATION Nervous;01. Jul;Item;;
$Q_S033_09;Number;S33 POSITIVE ACTIVATION Thrilled;01. Jul;Item;;
$Q_S033_09r;Number;S33 POSITIVE ACTIVATION Thrilled rev;01. Jul;Item reversed;RECODE $Q_S033_09 INTO $Q_S033_09r (7=1,6=2,5=3,4=4,3=5,2=6,1=7);RECODE_7
$Q_S033_10;Number;S33 NEGATIVE ACTIVATION Concerned;01. Jul;Item;;
$Q_S033_10r;Number;S33 NEGATIVE ACTIVATION Concerned rev;01. Jul;Item reversed;RECODE $Q_S033_10 INTO $Q_S033_10r (7=1,6=2,5=3,4=4,3=5,2=6,1=7);RECODE_7
;;;;;;
$Q_F001;Number;F1 JOB RESOURCES;01. Mai;Factor;MEAN($Q_S009,$Q_S010,$Q_S011,$Q_S012,$Q_S013,$Q_S014,$Q_S015);MEAN
$Q_F001_BZ;Number;F1 JOB RESOURCES Benchmark Z-Value;-3 to +3;Z-Value;($Q_F001-$B_F001_PM)/$B_F001_PS;COMPLEX1
$Q_F001_BV;Number;F1 JOB RESOURCES Benchmark Valuation;Unicode;Emoji;IF($Q_F001_BZ<$B_CO_pos1;
$Q_F001_DIS;Number;F1 JOB RESOURCES Dispersion;0-0.707;Value;STABW($Q_F001)/$B_F001_SR;COMPLEX4
$Q_F001_DISV;String;F1 JOB RESOURCES Dispersion Valuation;klein, mittel, hoch;String;IF($Q_F001_DIS<$B_CO_disp1;
$Q_F001_N;Number;F1 JOB RESOURCES Valid N;;;;
;;;;;;
$Q_F002;Number;F2 JOB DEMANDS;01. Mai;Factor;MEAN($Q_S018,$Q_S019,$Q_S020);MEAN
$Q_F002_BZ;Number;F2 JOB DEMANDS Benchmark Z-Value;-3 to +3;Z-Value;($Q_x-$B_x_PM)/$B_x_PS;COMPLEX1
$Q_F002_BV;Number;F2 JOB DEMANDS Benchmark Valuation;Unicode;Emoji;IF($Q_x_BZ>$B_CO_neg1;
$Q_F002_DIS;Number;F2 JOB DEMANDS Dispersion;0-0.707;Value;STABW($Q_x)/$B_x_SR;COMPLEX4
$Q_F002_DISV;String;F2 JOB DEMANDS Dispersion Valuation;tief, mittel, hoch;String;IF($Q_x_DIS<$B_CO_disp1;
$Q_F002_N;Number;F2 JOB DEMANDS Valid N;;;;
;;;;;;
$Q_I001;Number;I1 JR/JD;0.2-5;Index;$Q_F001/$Q_F002;DIV
$Q_I001_BZ;Number;I1 JR/JD Benchmark Z-Value;-3 to +3;Z-Value;($Q_x-$B_x_PM)/$B_x_PS;COMPLEX1
$Q_I001_BV;Number;I1 JR/JD Benchmark Valuation;Unicode;Emoji;IF($Q_x_BZ<$B_CO_pos1;
$Q_I001_DIS;Number;I1 JR/JD Dispersion;0-0.707;Value;STABW($Q_x)/$B_x_SR;COMPLEX4
$Q_I001_DISV;String;I1 JR/JD Dispersion Valuation;tief, mittel, hoch;String;IF($Q_x_DIS<$B_CO_disp1;
;;;;;;
$Q_S009;Number;S9 CONTROL;01. Mai;Scale;MEAN($Q_S009_01,$Q_S009_02,$Q_S009_03,$Q_S009_04,$Q_S009_05,$Q_S009_06);MEAN
$Q_S009_BZ;Number;S9 CONTROL Benchmark Z-Value;-3 to +3;Z-Value;($Q_x-$B_x_PM)/$B_x_PS;COMPLEX1
$Q_S009_BV;Number;S9 CONTROL Benchmark Valuation;Unicode;Emoji;IF($Q_x_BZ<$B_CO_pos1;
$Q_S009_01;Number;S9 CONTROL Break;1-5 / -1;Item;;
$Q_S009_02;Number;S9 CONTROL Speed;1-5 / -1;Item;;
$Q_S009_03;Number;S9 CONTROL Content;1-5 / -1;Item;;
$Q_S009_04;Number;S9 CONTROL Form;1-5 / -1;Item;;
$Q_S009_05;Number;S9 CONTROL Execution;1-5 / -1;Item;;
$Q_S009_06;Number;S9 CONTROL Time;1-5 / -1;Item;;
;;;;;;
