;416;416;1165;1165;1167;1167;1168;1168;1213;1213
9N97MP74CB;-----;-----;-----;-----;-----;-----;-----;-----;-----;-----
$Q_S033_01;2;"28.02.2019 12:39";2;"19.02.2019 19:36";1;"19.02.2019 15:38";2;"25.02.2019 10:31";2;"12.03.2019 15:00"
$Q_S033_02;2;"28.02.2019 12:39";2;"19.02.2019 19:36";1;"19.02.2019 15:38";2;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S033_03;2;"28.02.2019 12:39";5;"19.02.2019 19:36";6;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S033_04;4;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S033_05;3;"28.02.2019 12:39";2;"19.02.2019 19:36";1;"19.02.2019 15:38";2;"25.02.2019 10:31";2;"12.03.2019 15:00"
$Q_S033_06;6;"28.02.2019 12:39";6;"19.02.2019 19:36";7;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S033_07;6;"28.02.2019 12:39";6;"19.02.2019 19:36";7;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S033_08;4;"28.02.2019 12:39";2;"19.02.2019 19:36";2;"19.02.2019 15:38";3;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S033_09;2;"28.02.2019 12:39";2;"19.02.2019 19:36";1;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S033_10;4;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";6;"25.02.2019 10:31";4;"12.03.2019 15:00"
$Q_S018_05;5;"28.02.2019 12:39";5;"19.02.2019 19:36";3;"19.02.2019 15:38";4;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S009_01;4;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S010_01;5;"28.02.2019 12:39";5;"19.02.2019 19:36";4;"19.02.2019 15:38";4;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S013_01;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S011_01;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S015_01;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";3;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S019_01;1;"28.02.2019 12:39";3;"19.02.2019 19:36";2;"19.02.2019 15:38";1;"25.02.2019 10:31";2;"12.03.2019 15:00"
$Q_S020_01;1;"28.02.2019 12:39";1;"19.02.2019 19:36";1;"19.02.2019 15:38";3;"25.02.2019 10:31";1;"12.03.2019 15:00"
$Q_S012_01;5;"28.02.2019 12:39";3;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";4;"12.03.2019 15:00"
$Q_S018_02;2;"28.02.2019 12:39";2;"19.02.2019 19:36";2;"19.02.2019 15:38";2;"25.02.2019 10:31";2;"12.03.2019 15:00"
$Q_S014_01;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S009_02;4;"28.02.2019 12:39";4;"19.02.2019 19:36";4;"19.02.2019 15:38";3;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S010_03;5;"28.02.2019 12:39";4;"19.02.2019 19:36";4;"19.02.2019 15:38";5;"25.02.2019 10:31";4;"12.03.2019 15:00"
$Q_S013_02;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S011_02;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";3;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S015_02;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S019_02;2;"28.02.2019 12:39";2;"19.02.2019 19:36";3;"19.02.2019 15:38";2;"25.02.2019 10:31";2;"12.03.2019 15:00"
$Q_S020_02;1;"28.02.2019 12:39";1;"19.02.2019 19:36";1;"19.02.2019 15:38";1;"25.02.2019 10:31";1;"12.03.2019 15:00"
$Q_S012_02;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S018_04;4;"28.02.2019 12:39";4;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S014_02;4;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S009_04;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S018_07;3;"28.02.2019 12:39";1;"19.02.2019 19:36";1;"19.02.2019 15:38";2;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S010_04;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S013_03;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S011_03;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S015_03;5;"28.02.2019 12:39";4;"19.02.2019 19:36";3;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
