;499;499
59X33QAVAJ;-----;-----
$C_S125_01_FK_IC;58;"05.04.2018 14:56"
$C_S125_02_FK_IC;40;"05.04.2018 14:56"
$C_S125_03_FK_IC;25;"05.04.2018 14:56"
$C_S125_04_FK_IC;38;"05.04.2018 14:56"
$C_S125_05_FK_IC;38;"05.04.2018 14:56"
$C_S125_FK_IC;39.8;"05.04.2018 14:56"

LLD6J7JQSH;-----;-----
$O_S188_01_FK_IC;2.04;"05.04.2018 15:14"
$O_S188_02_FK_IC;3.5;"05.04.2018 15:14"
$O_S188_03_FK_IC;4.65;"05.04.2018 15:14"
$O_S188_04_FK_IC;5.37;"05.04.2018 15:14"
$O_S188_05_FK_IC;6.58;"05.04.2018 15:14"
$O_S188_06_FK_IC;4.32;"05.04.2018 15:14"
$O_S188_07_FK_IC;5.31;"05.04.2018 15:14"
$O_S188_08_FK_IC;5.62;"05.04.2018 15:14"
$O_S188_09_FK_IC;6.17;"05.04.2018 15:14"
$O_S188_10_FK_IC;-1;"05.04.2018 15:14"
$O_S188_a_FK_IC;4.428;"05.04.2018 15:14"
$O_S188_b_FK_IC;5.355;"05.04.2018 15:14"

5MQT5DWUT3;-----;-----
$C_S006_01_FK_IC;2.05;"05.04.2018 15:17"
$C_S006_02_FK_IC;2.48;"05.04.2018 15:17"
$C_S006_04_FK_IC;2.91;"05.04.2018 15:17"
$C_S006_05_FK_IC;3.88;"05.04.2018 15:17"
$C_S006_06_FK_IC;4.39;"05.04.2018 15:17"
$C_S006_07_FK_IC;3.76;"05.04.2018 15:17"
$C_S006_09_FK_IC;3.22;"05.04.2018 15:17"
$C_S006_10_FK_IC;3.72;"05.04.2018 15:17"
$C_S006_11_FK_IC;3.02;"05.04.2018 15:17"
$C_S006_12_FK_IC;3.65;"05.04.2018 15:17"
$C_S006_FK_IC;3.308;"05.04.2018 15:17"
$C_S006_FK_IC_BZ;-0.6314285714285717;"05.04.2018 15:17"
$C_S006_FK_IC_BV;1;"05.04.2018 15:17"
$C_S006_PAR_FK_IC;3.2833333333333337;"05.04.2018 15:17"
$C_S006_PAR_FK_IC_BZ;-0.6286919831223622;"05.04.2018 15:17"
$C_S006_PAR_FK_IC_BV;1;"05.04.2018 15:17"
$C_S006_RES_FK_IC;2.763333333333333;"05.04.2018 15:17"
$C_S006_RES_FK_IC_BZ;-1.5370370370370374;"05.04.2018 15:17"
$C_S006_RES_FK_IC_BV;1;"05.04.2018 15:17"
$C_S006_LEG_FK_IC;3.735;"05.04.2018 15:17"
$C_S006_LEG_FK_IC_BZ;0.09340659340659337;"05.04.2018 15:17"
$C_S006_LEG_FK_IC_BV;2;"05.04.2018 15:17"

CK2P8JUQVU;-----;-----
$C_S105_a4_FK_IC;2.36;"05.04.2018 15:21"
$C_S105_b1_FK_IC;2.79;"05.04.2018 15:21"
$C_S105_c1_FK_IC;3.26;"05.04.2018 15:21"
$C_S105_d1_FK_IC;2.95;"05.04.2018 15:21"
$C_S105_a5_FK_IC;3.33;"05.04.2018 15:21"
$C_S105_b3_FK_IC;-1;"05.04.2018 15:21"
$C_S105_c3_FK_IC;3.5;"05.04.2018 15:21"
$C_S105_d2_FK_IC;3.01;"05.04.2018 15:21"
$C_S105_FK_IC;3.028571428571428;"05.04.2018 15:21"
$C_S105_a_FK_IC;2.8449999999999998;"05.04.2018 15:21"
$C_S105_b_FK_IC;0;"05.04.2018 15:21"
$C_S105_c_FK_IC;3.38;"05.04.2018 15:21"
$C_S105_d_FK_IC;2.98;"05.04.2018 15:21"

