"TeamSurveyNr","SurveyID","Timestamp Sc_125_FK","PersonID","isTeamLeader","$Q_S033_01","$Q_S199_01","$Q_S199_02","$Q_S199_03","$Q_S199_04","$Q_S199_05","$Q_S199_06","$Q_S033_01r","$Q_S033_PA","$Q_S033_NA","$Q_S009","$Q_S010","$Q_S011","$Q_S012","$Q_S013","$Q_S014","$Q_S015","$Q_S018","$Q_S019","$Q_S020","$Q_F001","$Q_F002","$Q_I001","$Q_I001_NeedleLevel","$Q_I001_NeedlePath","$Q_I001_rounded","$Q_S006","$Q_S006_PAR","$Q_S006_RES","$Q_S006_LEG","$Q_S091","$Q_S037","$Q_S031","$Q_S031_COM","$Q_S031_MAN","$Q_S031_MEA","$Q_S130","$Q_S131","$Q_S130_D","$Q_S130_R","$Q_S131_D","$Q_S131_R","$Q_S199","$Q_S031_02","$C_S125_01_FK_IC","$C_S125_02_FK_IC","$C_S125_03_FK_IC","$C_S125_04_FK_IC","$C_S125_05_FK_IC","$C_S125_06_FK_IC","$C_S125_FK_IC","$O_S188_a_FK_IC","$O_S188_b_FK_IC","$C_S105_FK_IC","$C_S105_a_FK_IC","$C_S105_b_FK_IC","$C_S105_c_FK_IC","$C_S105_d_FK_IC","$C_S009_FK_IC","$C_S010_FK_IC","$C_S011_FK_IC","$C_S012_FK_IC","$C_S013_FK_IC","$C_S014_FK_IC","$C_S015_FK_IC","$C_S018_FK_IC","$C_S019_FK_IC","$C_S020_FK_IC","$C_S130_FK_IC","$C_S130_D_FK_IC","$C_S130_R_FK_IC","$C_S131_FK_IC","$C_S131_D_FK_IC","$C_S131_R_FK_IC","$C_S006_FK_IC","$C_S006_PAR_FK_IC","$C_S006_RES_FK_IC","$C_S006_LEG_FK_IC","$O_S101_FK_QC","$O_S102_FK_QC","$O_S103_FK_QC","$O_S104_FK_QC","$O_S105_FK_QC","$O_S105_a_FK_QC","$O_S105_b_FK_QC","$O_S105_c_FK_QC","$O_S105_d_FK_QC","$O_S100_FK_QC","$Q_S033_01_QC","$Q_S033_01r_QC","$Q_S033_PA_QC","$Q_S033_NA_QC","$O_S151_01_FK_QC","$O_S150_FK_QC","$O_S151_FK_QC","$O_S151_01_TM_QC","$O_S150_TM_QC","$O_S151_TM_QC","$_cur_date","$B_HSEshort009_PM","$B_HSEshort009_PS","$B_HSEshort010_PM","$B_HSEshort011_PM","$B_HSEshort010_PS","$B_HSEshort011_PS","$B_HSEshort012_PM","$B_HSEshort012_PS","$B_HSEshort013_PM","$B_HSEshort013_PS","$B_HSEshort014_PM","$B_HSEshort015_PM","$B_HSEshort014_PS","$B_HSEshort015_PS","$B_HSEshort018_PM","$B_HSEshort018_PS","$B_HSEshort019_PS","$B_HSEshort019_PM","$B_HSEshort020_PM","$B_HSEshort020_PS","$B_ILS_PRO_PM","$B_ILS_COM_PS","$B_ILS_PRO_PS","$B_ILS_COM_PM","$B_S006LD_PM","$B_S006LD_PS","$B_S006LD_SR","$B_S006LD_PAR_PM","$B_S006LD_PAR_PS","$B_S006LD_PAR_SR","$B_S006LD_RES_PM","$B_S006LD_RES_PS","$B_S006LD_RES_SR","$B_S006LD_LEG_PM","$B_S006LD_LEG_PS","$B_S006LD_LEG_SR","$O_S105_a5_TM_QC","$O_S101_TM_QC","$O_S102_TM_QC","$O_S103_TM_QC","$O_S104_TM_QC","$O_S105_TM_QC","$O_S105_a_TM_QC","$O_S105_b_TM_QC","$O_S105_c_TM_QC","$O_S105_d_TM_QC","$O_S100_TM_QC","$B_S006_par_PM","$B_S006_par_PS","$B_S006_par_SR","$B_S006_res_PM","$B_S006_res_SR","$B_S006_leg_PM","$B_S006_leg_PS","$B_S006_leg_SR","$B_S006_leg_t_PM","$B_S006_leg_t_PS","$B_S006_leg_t_SR","$B_S006_leg_s_PM","$B_S006_leg_s_PS","$B_S006_leg_s_SR"
1507426,"AJ335NWTKV","31.10.2018 08:59","X1003","Yes","2","86","75","76","92","69","88","6","5.25","2.75","4.4","5","3.6666666666666665","4","4","4.5","5","2.75","1.6666666666666667","2","4.366666666666666","2.138888888888889","2.0415584415584415","139","M -.0 -0.025 L .0 0.025 L -0.377354790111386 0.32802951449525364 Z","2.04","4.3","4","4","4.75","4.142857142857143","1.75","0","0","0","0","5","4.5","5","5","4.666666666666667","4.333333333333333","79.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1507426,"4V3E4KCYED","02.07.2019 12:11","X1003","Yes","3","87","76","87","79","72","67","5","4.5","4.25","3.8333333333333335","5","3","4","4","4.6","5","3.875","1","1.5","4.204761904761905","2.125","1.9787114845938376","134","M -.0 -0.025 L .0 0.025 L -0.3473291852294985 0.3596699001693257 Z","1.98","4.2","4","4","4.5","3.857142857142857","3","4.444444444444445","4.666666666666667","2.6666666666666665","6","5","4.333333333333333","5","5","4.333333333333333","4.333333333333333","80.2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1507428,"AJ335NWTKV","31.10.2018 11:49","X1005","Yes","2","100","75","100","100","100","100","6","4.75","3.75","4.5","4.4","4.333333333333333","4","4.25","5","4","3.5","3.3333333333333335","2.5","4.354761904761905","3.111111111111111","1.3997448979591838","81","M -.0 -0.025 L .0 0.025 L 0.07821723252011546 0.4938441702975689 Z","1.4","5","5","5","5","4.428571428571429","3.5","0","0","0","0","4.5","4.5","4.666666666666667","4.333333333333333","4.666666666666667","4.333333333333333","95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1507428,"4V3E4KCYED","01.07.2019 13:17","X1005","Yes","3","100","100","100","100","100","100","5","4","2.25","4.5","5","3.6666666666666665","3.5","4.75","4.6","4","3","3","1.25","4.288095238095238","2.4166666666666665","1.774384236453202","115","M -.0 -0.025 L .0 0.025 L -0.21130913087034967 0.453153893518325 Z","1.77","4.7","4.666666666666667","4.333333333333333","5","3.2857142857142856","3","4.222222222222222","3.3333333333333335","5","4.333333333333333","3.5","4.4","3.3333333333333335","3.6666666666666665","4.333333333333333","4.5","100","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1507431,"GNAJ7ZFKCW","14.11.2018 09:30","X1008","Yes","2","91","70","82","90","73","87","6","5","1.75","3.8333333333333335","4.2","4","4","4.5","5","4","1.375","1.6666666666666667","2.25","4.219047619047619","1.763888888888889","2.391901012373453","171","M -.0 -0.025 L .0 0.025 L -0.49384417029756883 0.07821723252011549 Z","2.39","4.1","3.6666666666666665","4","4.5","4.714285714285714","1.75","5.222222222222222","4.666666666666667","5.666666666666667","5.333333333333333","4.333333333333333","4","4","4.666666666666667","4","4","81.2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1507432,"GNAJ7ZFKCW","05.11.2018 09:48","X1009","Yes","2","75","42","67","38","51","69","6","4.75","1.75","2.5","4.4","4","4","4.5","3.8","4","1.875","2.6666666666666665","2.25","3.8857142857142856","2.263888888888889","1.7163891323400526","110","M -.0 -0.025 L .0 0.025 L -0.17101007166283436 0.4698463103929542 Z","1.72","3.7","4","3.6666666666666665","3.5","3.857142857142857","2.75","4.777777777777778","4.333333333333333","5.333333333333333","4.666666666666667","3.8333333333333335","3.6666666666666665","3.6666666666666665","4","3.6666666666666665","3.6666666666666665","54.6","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1507454,"GNAJ7ZFKCW","05.11.2018 12:07","X1010","Yes","5","87","54","68","68","83","62","3","3.75","4","1.5","4.2","2","2.3333333333333335","4.5","3.2","3.3333333333333335","2.125","1.3333333333333332","2.25","3.0095238095238095","1.9027777777777776","1.5816475495307613","98","M -.0 -0.025 L .0 0.025 L -0.06958655048003268 0.4951340343707852 Z","1.58","3.4","3.6666666666666665","3.3333333333333335","3.25","3.7142857142857144","3","4.555555555555555","6.333333333333333","3.3333333333333335","4","4.666666666666667","3.8","4.666666666666667","4.666666666666667","3.6666666666666665","4","72","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1507455,"GNAJ7ZFKCW","05.11.2018 14:34","X1011","Yes","3","51","26","50","52","25","37","5","4","3","3.1666666666666665","4.2","3","3.3333333333333335","4","4.2","4.333333333333333","2","2","2","3.7476190476190476","2","1.8738095238095238","124","M -.0 -0.025 L .0 0.025 L -0.27959645173537334 0.41451878627752087 Z","1.87","3.4","4","4","2.5","4.428571428571429","3.5","4.111111111111111","4","4","4.333333333333333","3.8333333333333335","3.3333333333333335","3.6666666666666665","4","3.3333333333333335","3.3333333333333335","40.8","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1507456,"AJ335NWTKV","01.11.2018 16:10","X1012","Yes","6","99","100","100","100","100","100","2","6.25","4.5","3.3333333333333335","5","4.333333333333333","4.333333333333333","2.75","2","2.6666666666666665","3.5","2","2.75","3.488095238095238","2.75","1.2683982683982684","70","M -.0 -0.025 L .0 0.025 L 0.1710100716628344 0.46984631039295416 Z","1.27","3.1","3","3.6666666666666665","2.75","4.714285714285714","2","0","0","0","0","4.8","2.1666666666666665","4.5","5","2.3333333333333335","2","99.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1507456,"4V3E4KCYED","18.06.2019 17:09","X1012","Yes","3","75","75","74","87","79","100","5","6.5","3.5","4","5","4.666666666666667","4.666666666666667","4","3.6","3.3333333333333335","2.875","1.3333333333333332","2.25","4.180952380952381","2.1527777777777777","1.942119815668203","130","M -.0 -0.025 L .0 0.025 L -0.3213938048432697 0.383022221559489 Z","1.94","3.7","4","3.6666666666666665","3.5","4.428571428571429","2.25","5.888888888888889","5.666666666666667","6","6","3.6666666666666665","3.1666666666666665","3","4.333333333333333","3.3333333333333335","3","78","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
